uf,abbrev_state,name_state,month,month.name,year,covid_deaths
11,RO,Rondônia,3,Mar,2020,2
11,RO,Rondônia,4,Apr,2020,21
11,RO,Rondônia,5,May,2020,175
11,RO,Rondônia,6,Jun,2020,396
11,RO,Rondônia,7,Jul,2020,362
11,RO,Rondônia,8,Aug,2020,294
11,RO,Rondônia,9,Sep,2020,204
11,RO,Rondônia,10,Oct,2020,90
11,RO,Rondônia,11,Nov,2020,100
11,RO,Rondônia,12,Dec,2020,246
11,RO,Rondônia,1,Jan,2021,497
11,RO,Rondônia,2,Feb,2021,677
11,RO,Rondônia,3,Mar,2021,1332
11,RO,Rondônia,4,Apr,2021,931
11,RO,Rondônia,5,May,2021,534
11,RO,Rondônia,6,Jun,2021,335
11,RO,Rondônia,7,Jul,2021,197
11,RO,Rondônia,8,Aug,2021,101
11,RO,Rondônia,9,Sep,2021,49
11,RO,Rondônia,10,Oct,2021,39
11,RO,Rondônia,11,Nov,2021,65
11,RO,Rondônia,12,Dec,2021,113
12,AC,Acre,4,Apr,2020,22
12,AC,Acre,5,May,2020,147
12,AC,Acre,6,Jun,2020,227
12,AC,Acre,7,Jul,2020,147
12,AC,Acre,8,Aug,2020,71
12,AC,Acre,9,Sep,2020,36
12,AC,Acre,10,Oct,2020,34
12,AC,Acre,11,Nov,2020,38
12,AC,Acre,12,Dec,2020,87
12,AC,Acre,1,Jan,2021,117
12,AC,Acre,2,Feb,2021,245
12,AC,Acre,3,Mar,2021,445
12,AC,Acre,4,Apr,2021,273
12,AC,Acre,5,May,2021,110
12,AC,Acre,6,Jun,2021,53
12,AC,Acre,7,Jul,2021,33
12,AC,Acre,8,Aug,2021,13
12,AC,Acre,9,Sep,2021,4
12,AC,Acre,10,Oct,2021,7
12,AC,Acre,11,Nov,2021,2
12,AC,Acre,12,Dec,2021,3
13,AM,Amazonas,3,Mar,2020,4
13,AM,Amazonas,4,Apr,2020,1343
13,AM,Amazonas,5,May,2020,1762
13,AM,Amazonas,6,Jun,2020,561
13,AM,Amazonas,7,Jul,2020,370
13,AM,Amazonas,8,Aug,2020,280
13,AM,Amazonas,9,Sep,2020,275
13,AM,Amazonas,10,Oct,2020,412
13,AM,Amazonas,11,Nov,2020,353
13,AM,Amazonas,12,Dec,2020,560
13,AM,Amazonas,1,Jan,2021,4008
13,AM,Amazonas,2,Feb,2021,2603
13,AM,Amazonas,3,Mar,2021,974
13,AM,Amazonas,4,Apr,2021,509
13,AM,Amazonas,5,May,2021,303
13,AM,Amazonas,6,Jun,2021,242
13,AM,Amazonas,7,Jul,2021,192
13,AM,Amazonas,8,Aug,2021,147
13,AM,Amazonas,9,Sep,2021,51
13,AM,Amazonas,10,Oct,2021,31
13,AM,Amazonas,11,Nov,2021,33
13,AM,Amazonas,12,Dec,2021,47
14,RR,Roraima,4,Apr,2020,9
14,RR,Roraima,5,May,2020,140
14,RR,Roraima,6,Jun,2020,302
14,RR,Roraima,7,Jul,2020,144
14,RR,Roraima,8,Aug,2020,47
14,RR,Roraima,9,Sep,2020,31
14,RR,Roraima,10,Oct,2020,33
14,RR,Roraima,11,Nov,2020,55
14,RR,Roraima,12,Dec,2020,45
14,RR,Roraima,1,Jan,2021,134
14,RR,Roraima,2,Feb,2021,254
14,RR,Roraima,3,Mar,2021,220
14,RR,Roraima,4,Apr,2021,138
14,RR,Roraima,5,May,2021,108
14,RR,Roraima,6,Jun,2021,110
14,RR,Roraima,7,Jul,2021,99
14,RR,Roraima,8,Aug,2021,61
14,RR,Roraima,9,Sep,2021,42
14,RR,Roraima,10,Oct,2021,29
14,RR,Roraima,11,Nov,2021,7
14,RR,Roraima,12,Dec,2021,19
15,PA,Pará,3,Mar,2020,2
15,PA,Pará,4,Apr,2020,877
15,PA,Pará,5,May,2020,2947
15,PA,Pará,6,Jun,2020,1437
15,PA,Pará,7,Jul,2020,851
15,PA,Pará,8,Aug,2020,509
15,PA,Pará,9,Sep,2020,333
15,PA,Pará,10,Oct,2020,223
15,PA,Pará,11,Nov,2020,297
15,PA,Pará,12,Dec,2020,424
15,PA,Pará,1,Jan,2021,771
15,PA,Pará,2,Feb,2021,1043
15,PA,Pará,3,Mar,2021,2704
15,PA,Pará,4,Apr,2021,2640
15,PA,Pará,5,May,2021,1079
15,PA,Pará,6,Jun,2021,732
15,PA,Pará,7,Jul,2021,425
15,PA,Pará,8,Aug,2021,224
15,PA,Pará,9,Sep,2021,110
15,PA,Pará,10,Oct,2021,105
15,PA,Pará,11,Nov,2021,203
15,PA,Pará,12,Dec,2021,361
16,AP,Amapá,4,Apr,2020,57
16,AP,Amapá,5,May,2020,404
16,AP,Amapá,6,Jun,2020,246
16,AP,Amapá,7,Jul,2020,76
16,AP,Amapá,8,Aug,2020,47
16,AP,Amapá,9,Sep,2020,24
16,AP,Amapá,10,Oct,2020,39
16,AP,Amapá,11,Nov,2020,89
16,AP,Amapá,12,Dec,2020,131
16,AP,Amapá,1,Jan,2021,97
16,AP,Amapá,2,Feb,2021,65
16,AP,Amapá,3,Mar,2021,213
16,AP,Amapá,4,Apr,2021,278
16,AP,Amapá,5,May,2021,148
16,AP,Amapá,6,Jun,2021,133
16,AP,Amapá,7,Jul,2021,60
16,AP,Amapá,8,Aug,2021,34
16,AP,Amapá,9,Sep,2021,10
16,AP,Amapá,10,Oct,2021,7
16,AP,Amapá,11,Nov,2021,6
16,AP,Amapá,12,Dec,2021,17
17,TO,Tocantins,3,Mar,2020,1
17,TO,Tocantins,4,Apr,2020,4
17,TO,Tocantins,5,May,2020,71
17,TO,Tocantins,6,Jun,2020,118
17,TO,Tocantins,7,Jul,2020,189
17,TO,Tocantins,8,Aug,2020,326
17,TO,Tocantins,9,Sep,2020,238
17,TO,Tocantins,10,Oct,2020,106
17,TO,Tocantins,11,Nov,2020,62
17,TO,Tocantins,12,Dec,2020,63
17,TO,Tocantins,1,Jan,2021,156
17,TO,Tocantins,2,Feb,2021,158
17,TO,Tocantins,3,Mar,2021,640
17,TO,Tocantins,4,Apr,2021,528
17,TO,Tocantins,5,May,2021,355
17,TO,Tocantins,6,Jun,2021,370
17,TO,Tocantins,7,Jul,2021,199
17,TO,Tocantins,8,Aug,2021,108
17,TO,Tocantins,9,Sep,2021,74
