mother_age,underreporting
15,0.008028868
16,0.009219892
17,0.008428882
18,0.008813245
19,0.008113102
20,0.007708812
21,0.007634918
22,0.007167583
23,0.007286635
24,0.007610824
25,0.007444318
26,0.007256146
27,0.006533924
28,0.006377685
29,0.006567106
30,0.006299416
31,0.006371017
32,0.005947728
33,0.005841016
34,0.006058661
35,0.00621091
36,0.00536698
37,0.005399964
38,0.005229939
39,0.006139105
40,0.006214284
41,0.005711436
42,0.006407553
43,0.00622477
44,0.007125586
45,0.012262386
46,0.010930657
47,0.022060531
48,0.036328161
49,0.053193568
