"age_group","year","n_pop","sex","uf_code","source_year","uf"
"Total",2002,751815,"male","RO",2013,11
"0-4",2002,83717,"male","RO",2013,11
"5-9",2002,83625,"male","RO",2013,11
"10-14",2002,83252,"male","RO",2013,11
"15-19",2002,82150,"male","RO",2013,11
"20-24",2002,74916,"male","RO",2013,11
"25-29",2002,64178,"male","RO",2013,11
"30-34",2002,58529,"male","RO",2013,11
"35-39",2002,54570,"male","RO",2013,11
"40-44",2002,45308,"male","RO",2013,11
"45-49",2002,34754,"male","RO",2013,11
"50-54",2002,26103,"male","RO",2013,11
"55-59",2002,19181,"male","RO",2013,11
"60-64",2002,14902,"male","RO",2013,11
"65-69",2002,11179,"male","RO",2013,11
"70-74",2002,7657,"male","RO",2013,11
"75-79",2002,4588,"male","RO",2013,11
"80-84",2002,2141,"male","RO",2013,11
"85-89",2002,758,"male","RO",2013,11
"90+",2002,307,"male","RO",2013,11
"Total",2003,765465,"male","RO",2013,11
"0-4",2003,84088,"male","RO",2013,11
"5-9",2003,83318,"male","RO",2013,11
"10-14",2003,83523,"male","RO",2013,11
"15-19",2003,82386,"male","RO",2013,11
"20-24",2003,77195,"male","RO",2013,11
"25-29",2003,66211,"male","RO",2013,11
"30-34",2003,58996,"male","RO",2013,11
"35-39",2003,55541,"male","RO",2013,11
"40-44",2003,47375,"male","RO",2013,11
"45-49",2003,36430,"male","RO",2013,11
"50-54",2003,27409,"male","RO",2013,11
"55-59",2003,20122,"male","RO",2013,11
"60-64",2003,15184,"male","RO",2013,11
"65-69",2003,11625,"male","RO",2013,11
"70-74",2003,7862,"male","RO",2013,11
"75-79",2003,4838,"male","RO",2013,11
"80-84",2003,2277,"male","RO",2013,11
"85-89",2003,803,"male","RO",2013,11
"90+",2003,282,"male","RO",2013,11
"Total",2004,778751,"male","RO",2013,11
"0-4",2004,84338,"male","RO",2013,11
"5-9",2004,82840,"male","RO",2013,11
"10-14",2004,83697,"male","RO",2013,11
"15-19",2004,82521,"male","RO",2013,11
"20-24",2004,79189,"male","RO",2013,11
"25-29",2004,68394,"male","RO",2013,11
"30-34",2004,59723,"male","RO",2013,11
"35-39",2004,56336,"male","RO",2013,11
"40-44",2004,49301,"male","RO",2013,11
"45-49",2004,38182,"male","RO",2013,11
"50-54",2004,28800,"male","RO",2013,11
"55-59",2004,21135,"male","RO",2013,11
"60-64",2004,15551,"male","RO",2013,11
"65-69",2004,12036,"male","RO",2013,11
"70-74",2004,8091,"male","RO",2013,11
"75-79",2004,5067,"male","RO",2013,11
"80-84",2004,2422,"male","RO",2013,11
"85-89",2004,857,"male","RO",2013,11
"90+",2004,271,"male","RO",2013,11
"Total",2005,791680,"male","RO",2013,11
"0-4",2005,84565,"male","RO",2013,11
"5-9",2005,82125,"male","RO",2013,11
"10-14",2005,83731,"male","RO",2013,11
"15-19",2005,82708,"male","RO",2013,11
"20-24",2005,80753,"male","RO",2013,11
"25-29",2005,70640,"male","RO",2013,11
"30-34",2005,60841,"male","RO",2013,11
"35-39",2005,57002,"male","RO",2013,11
"40-44",2005,50995,"male","RO",2013,11
"45-49",2005,40017,"male","RO",2013,11
"50-54",2005,30282,"male","RO",2013,11
"55-59",2005,22196,"male","RO",2013,11
"60-64",2005,16052,"male","RO",2013,11
"65-69",2005,12390,"male","RO",2013,11
"70-74",2005,8355,"male","RO",2013,11
"75-79",2005,5267,"male","RO",2013,11
"80-84",2005,2575,"male","RO",2013,11
"85-89",2005,916,"male","RO",2013,11
"90+",2005,270,"male","RO",2013,11
"Total",2006,804251,"male","RO",2013,11
"0-4",2006,83113,"male","RO",2013,11
"5-9",2006,82868,"male","RO",2013,11
"10-14",2006,83634,"male","RO",2013,11
"15-19",2006,82908,"male","RO",2013,11
"20-24",2006,81878,"male","RO",2013,11
"25-29",2006,72971,"male","RO",2013,11
"30-34",2006,62309,"male","RO",2013,11
"35-39",2006,57558,"male","RO",2013,11
"40-44",2006,52459,"male","RO",2013,11
"45-49",2006,41934,"male","RO",2013,11
"50-54",2006,31831,"male","RO",2013,11
"55-59",2006,23320,"male","RO",2013,11
"60-64",2006,16674,"male","RO",2013,11
"65-69",2006,12697,"male","RO",2013,11
"70-74",2006,8655,"male","RO",2013,11
"75-79",2006,5445,"male","RO",2013,11
"80-84",2006,2736,"male","RO",2013,11
"85-89",2006,981,"male","RO",2013,11
"90+",2006,280,"male","RO",2013,11
"Total",2007,816468,"male","RO",2013,11
"0-4",2007,81705,"male","RO",2013,11
"5-9",2007,83390,"male","RO",2013,11
"10-14",2007,83407,"male","RO",2013,11
"15-19",2007,83125,"male","RO",2013,11
"20-24",2007,82513,"male","RO",2013,11
"25-29",2007,75408,"male","RO",2013,11
"30-34",2007,64107,"male","RO",2013,11
"35-39",2007,58011,"male","RO",2013,11
"40-44",2007,53680,"male","RO",2013,11
"45-49",2007,43963,"male","RO",2013,11
"50-54",2007,33421,"male","RO",2013,11
"55-59",2007,24502,"male","RO",2013,11
"60-64",2007,17422,"male","RO",2013,11
"65-69",2007,12954,"male","RO",2013,11
"70-74",2007,9000,"male","RO",2013,11
"75-79",2007,5604,"male","RO",2013,11
"80-84",2007,2906,"male","RO",2013,11
"85-89",2007,1049,"male","RO",2013,11
"90+",2007,301,"male","RO",2013,11
"Total",2008,828323,"male","RO",2013,11
"0-4",2008,80329,"male","RO",2013,11
"5-9",2008,83746,"male","RO",2013,11
"10-14",2008,83038,"male","RO",2013,11
"15-19",2008,83323,"male","RO",2013,11
"20-24",2008,82797,"male","RO",2013,11
"25-29",2008,77786,"male","RO",2013,11
"30-34",2008,66173,"male","RO",2013,11
"35-39",2008,58509,"male","RO",2013,11
"40-44",2008,54680,"male","RO",2013,11
"45-49",2008,46001,"male","RO",2013,11
"50-54",2008,35062,"male","RO",2013,11
"55-59",2008,25752,"male","RO",2013,11
"60-64",2008,18273,"male","RO",2013,11
"65-69",2008,13210,"male","RO",2013,11
"70-74",2008,9359,"male","RO",2013,11
"75-79",2008,5755,"male","RO",2013,11
"80-84",2008,3075,"male","RO",2013,11
"85-89",2008,1124,"male","RO",2013,11
"90+",2008,331,"male","RO",2013,11
"Total",2009,839825,"male","RO",2013,11
"0-4",2009,78997,"male","RO",2013,11
"5-9",2009,83980,"male","RO",2013,11
"10-14",2009,82501,"male","RO",2013,11
"15-19",2009,83428,"male","RO",2013,11
"20-24",2009,82976,"male","RO",2013,11
"25-29",2009,79877,"male","RO",2013,11
"30-34",2009,68390,"male","RO",2013,11
"35-39",2009,59262,"male","RO",2013,11
"40-44",2009,55507,"male","RO",2013,11
"45-49",2009,47905,"male","RO",2013,11
"50-54",2009,36780,"male","RO",2013,11
"55-59",2009,27080,"male","RO",2013,11
"60-64",2009,19190,"male","RO",2013,11
"65-69",2009,13543,"male","RO",2013,11
"70-74",2009,9687,"male","RO",2013,11
"75-79",2009,5922,"male","RO",2013,11
"80-84",2009,3229,"male","RO",2013,11
"85-89",2009,1203,"male","RO",2013,11
"90+",2009,368,"male","RO",2013,11
"Total",2002,707996,"female","RO",2013,11
"0-4",2002,79479,"female","RO",2013,11
"5-9",2002,80511,"female","RO",2013,11
"10-14",2002,80253,"female","RO",2013,11
"15-19",2002,78722,"female","RO",2013,11
"20-24",2002,72294,"female","RO",2013,11
"25-29",2002,63729,"female","RO",2013,11
"30-34",2002,56716,"female","RO",2013,11
"35-39",2002,49604,"female","RO",2013,11
"40-44",2002,40730,"female","RO",2013,11
