"age_group","year","n_pop","sex","uf_code","source_year","uf"
"TOTAL",2010,95513298,"male","BR",2018,NA
"0",2010,1486185,"male","BR",2018,NA
"1",2010,1505037,"male","BR",2018,NA
"2",2010,1514121,"male","BR",2018,NA
"3",2010,1525255,"male","BR",2018,NA
"4",2010,1563918,"male","BR",2018,NA
"5",2010,1582546,"male","BR",2018,NA
"6",2010,1587618,"male","BR",2018,NA
"7",2010,1602699,"male","BR",2018,NA
"8",2010,1628483,"male","BR",2018,NA
"9",2010,1693291,"male","BR",2018,NA
"10",2010,1724962,"male","BR",2018,NA
"11",2010,1766148,"male","BR",2018,NA
"12",2010,1790713,"male","BR",2018,NA
"13",2010,1789370,"male","BR",2018,NA
"14",2010,1771394,"male","BR",2018,NA
"15",2010,1754602,"male","BR",2018,NA
"16",2010,1734481,"male","BR",2018,NA
"17",2010,1722324,"male","BR",2018,NA
"18",2010,1725238,"male","BR",2018,NA
"19",2010,1737191,"male","BR",2018,NA
"20",2010,1744496,"male","BR",2018,NA
"21",2010,1749243,"male","BR",2018,NA
"22",2010,1752112,"male","BR",2018,NA
"23",2010,1751859,"male","BR",2018,NA
"24",2010,1748406,"male","BR",2018,NA
"25",2010,1743529,"male","BR",2018,NA
"26",2010,1737581,"male","BR",2018,NA
"27",2010,1724114,"male","BR",2018,NA
"28",2010,1700323,"male","BR",2018,NA
"29",2010,1669059,"male","BR",2018,NA
"30",2010,1637166,"male","BR",2018,NA
"31",2010,1604658,"male","BR",2018,NA
"32",2010,1568187,"male","BR",2018,NA
"33",2010,1527225,"male","BR",2018,NA
"34",2010,1484051,"male","BR",2018,NA
"35",2010,1440360,"male","BR",2018,NA
"36",2010,1394472,"male","BR",2018,NA
"37",2010,1358332,"male","BR",2018,NA
"38",2010,1337634,"male","BR",2018,NA
"39",2010,1326729,"male","BR",2018,NA
"40",2010,1314186,"male","BR",2018,NA
"41",2010,1302203,"male","BR",2018,NA
"42",2010,1286733,"male","BR",2018,NA
"43",2010,1264589,"male","BR",2018,NA
"44",2010,1237767,"male","BR",2018,NA
"45",2010,1211719,"male","BR",2018,NA
"46",2010,1185657,"male","BR",2018,NA
"47",2010,1156847,"male","BR",2018,NA
"48",2010,1124568,"male","BR",2018,NA
"49",2010,1089725,"male","BR",2018,NA
"50",2010,1054155,"male","BR",2018,NA
"51",2010,1017780,"male","BR",2018,NA
"52",2010,980577,"male","BR",2018,NA
"53",2010,942803,"male","BR",2018,NA
"54",2010,904687,"male","BR",2018,NA
"55",2010,866129,"male","BR",2018,NA
"56",2010,827097,"male","BR",2018,NA
"57",2010,789260,"male","BR",2018,NA
"58",2010,753402,"male","BR",2018,NA
"59",2010,718933,"male","BR",2018,NA
"60",2010,684784,"male","BR",2018,NA
"61",2010,651585,"male","BR",2018,NA
"62",2010,617610,"male","BR",2018,NA
"63",2010,582021,"male","BR",2018,NA
"64",2010,545961,"male","BR",2018,NA
"65",2010,510943,"male","BR",2018,NA
"66",2010,476122,"male","BR",2018,NA
"67",2010,445469,"male","BR",2018,NA
"68",2010,420954,"male","BR",2018,NA
"69",2010,400510,"male","BR",2018,NA
"70",2010,380401,"male","BR",2018,NA
"71",2010,361702,"male","BR",2018,NA
"72",2010,341081,"male","BR",2018,NA
"73",2010,316605,"male","BR",2018,NA
"74",2010,290029,"male","BR",2018,NA
"75",2010,264908,"male","BR",2018,NA
"76",2010,240351,"male","BR",2018,NA
"77",2010,218060,"male","BR",2018,NA
"78",2010,199182,"male","BR",2018,NA
"79",2010,182705,"male","BR",2018,NA
"80",2010,166327,"male","BR",2018,NA
"81",2010,150333,"male","BR",2018,NA
"82",2010,135007,"male","BR",2018,NA
"83",2010,120199,"male","BR",2018,NA
"84",2010,105762,"male","BR",2018,NA
"85",2010,91548,"male","BR",2018,NA
"86",2010,77412,"male","BR",2018,NA
"87",2010,63209,"male","BR",2018,NA
"88",2010,48783,"male","BR",2018,NA
"89",2010,33992,"male","BR",2018,NA
"90+",2010,155814,"male","BR",2018,NA
"TOTAL",2011,96322635,"male","BR",2018,NA
"0",2011,1489875,"male","BR",2018,NA
"1",2011,1482606,"male","BR",2018,NA
"2",2011,1503620,"male","BR",2018,NA
"3",2011,1513165,"male","BR",2018,NA
"4",2011,1524495,"male","BR",2018,NA
"5",2011,1563308,"male","BR",2018,NA
"6",2011,1582023,"male","BR",2018,NA
"7",2011,1587088,"male","BR",2018,NA
"8",2011,1602168,"male","BR",2018,NA
"9",2011,1627945,"male","BR",2018,NA
"10",2011,1692654,"male","BR",2018,NA
"11",2011,1724235,"male","BR",2018,NA
"12",2011,1765404,"male","BR",2018,NA
"13",2011,1789955,"male","BR",2018,NA
"14",2011,1788620,"male","BR",2018,NA
"15",2011,1769396,"male","BR",2018,NA
"16",2011,1751365,"male","BR",2018,NA
"17",2011,1731283,"male","BR",2018,NA
"18",2011,1719153,"male","BR",2018,NA
"19",2011,1722070,"male","BR",2018,NA
"20",2011,1733167,"male","BR",2018,NA
"21",2011,1739610,"male","BR",2018,NA
"22",2011,1744360,"male","BR",2018,NA
"23",2011,1747238,"male","BR",2018,NA
"24",2011,1747000,"male","BR",2018,NA
"25",2011,1743523,"male","BR",2018,NA
