"mother_age_group","partner_age_group","p","p_lower","p_higher","se","n","uf"
"50-59","60-69",0.270443188944178,0.174528864587109,0.366357513301248,0.0489367789988128,99,"11"
"40-49","60-69",0.0390879648003042,0.00796371132378905,0.0702122182768193,0.015880012960452,136,"11"
"30-39","60-69",0.0129854062879247,-0.0105722404687931,0.0365430530446424,0.0120194283887548,155,"11"
"60-69","60-69",0.468603148257493,0.296376087004457,0.640830209510529,0.0878725642978858,50,"11"
"20-29","60-69",0,0,0,0,119,"11"
"70+","60-69",0.114763992089868,-0.0344635399437658,0.263991524123501,0.0761378949872147,28,"11"
"10-19","60-69",0,0,0,0,24,"11"
"50-59","50-59",0.539542163085451,0.407614344708878,0.671469981462023,0.0673113482784389,99,"11"
"40-49","50-59",0.356440751953833,0.260614560637372,0.452266943270295,0.048891812335495,136,"11"
"30-39","50-59",0.0938023354562293,0.03772142514699,0.149883245765469,0.0286132351163585,155,"11"
"60-69","50-59",0.189025627692482,0.0515160221480405,0.326535233236923,0.070159251205175,50,"11"
"20-29","50-59",0,0,0,0,119,"11"
"70+","50-59",0.0219507899358955,-0.0212995957966794,0.0652011756684704,0.0220669288179418,28,"11"
"10-19","50-59",0.0214624324800236,-0.0214525671113153,0.0643774320713624,0.0218958102954171,24,"11"
"50-59","30-39",0.052118624698138,-0.00605527460049402,0.11029252399677,0.0296811062639417,99,"11"
"40-49","30-39",0.122259142783954,0.0530361958243219,0.191482089743585,0.0353184790667857,136,"11"
"30-39","30-39",0.509121581610338,0.411609568244894,0.606633594975781,0.049751941430866,155,"11"
"60-69","30-39",0,0,0,0,50,"11"
"20-29","30-39",0.482638496473146,0.377679926709782,0.58759706623651,0.0535512747128335,119,"11"
"70+","30-39",0,0,0,0,28,"11"
"10-19","30-39",0.330799683378911,0.0577141690400679,0.603885197717755,0.139331904306868,24,"11"
"50-59","40-49",0.0861025902006638,0.0181466685822792,0.154058511819048,0.0346720256874168,99,"11"
"40-49","40-49",0.450721629220742,0.346258155157375,0.555185103284108,0.0532986702242293,136,"11"
"30-39","40-49",0.303508533393927,0.211900869500068,0.395116197287786,0.0467394628760777,155,"11"
"60-69","40-49",0.0549369111488135,-0.00166061022711435,0.111534432524741,0.0288768170345791,50,"11"
"20-29","40-49",0.0485478856190494,0.0156714649126629,0.0814243063254359,0.0167739922599147,119,"11"
"70+","40-49",0,0,0,0,28,"11"
"10-19","40-49",0,0,0,0,24,"11"
"50-59","20-29",0.00662182709332177,-0.00643022928174319,0.0196738834683867,0.00665933480309736,99,"11"
"40-49","20-29",0.0102433096058471,-0.010003091542312,0.0304897107540062,0.0103299863200855,136,"11"
"30-39","20-29",0.080582143251581,0.0315361428822478,0.129628143620914,0.0250239293967653,155,"11"
"60-69","20-29",0,0,0,0,50,"11"
"20-29","20-29",0.458207871941821,0.351860797443939,0.564554946439702,0.0542597085133878,119,"11"
"70+","20-29",0,0,0,0,28,"11"
"10-19","20-29",0.414926250147705,0.183804269608019,0.646048230687392,0.117921544662426,24,"11"
"50-59","70+",0.0451716059782474,-0.011178645346254,0.101521857302749,0.0287506565268469,99,"11"
"40-49","70+",0.0212472016353202,-0.0201123759896829,0.0626067792603233,0.0211022130769964,136,"11"
"30-39","70+",0,0,0,0,155,"11"
"60-69","70+",0.287434312901212,0.142146075541691,0.432722550260732,0.0741280138336908,50,"11"
"20-29","70+",0,0,0,0,119,"11"
"70+","70+",0.863285217974237,0.709427865816148,1.01714257013233,0.0785000915178524,28,"11"
"10-19","70+",0,0,0,0,24,"11"
"50-59","10-19",0,0,0,0,99,"11"
"40-49","10-19",0,0,0,0,136,"11"
"30-39","10-19",0,0,0,0,155,"11"
"60-69","10-19",0,0,0,0,50,"11"
